[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 51/150 loss=-2.51547 presence=0.1645 amplitude=1.0846 sparse=0.9064 val_score=0.18508 best=0.09923 centroid=1.000 falseS=0.007 massX=1.197 outsideT=0.007 recall=1.070 precision=0.993 bad=6 lr=1.52e-04 peak_mb=7362 elapsed=1939.3s
[A] epoch 52/150 loss=-2.65406 presence=0.1427 amplitude=1.0824 sparse=0.9123 val_score=0.10505 best=0.09923 centroid=1.000 falseS=0.004 massX=1.074 outsideT=0.005 recall=0.996 precision=0.995 bad=7 lr=1.50e-04 peak_mb=7362 elapsed=1977.3s
[A] epoch 53/150 loss=-2.50399 presence=0.1194 amplitude=1.0537 sparse=0.9061 val_score=0.20684 best=0.09923 centroid=1.000 falseS=0.009 massX=1.714 outsideT=0.012 recall=1.465 precision=0.991 bad=8 lr=1.48e-04 peak_mb=7362 elapsed=2015.1s
[A] epoch 54/150 loss=-2.60039 presence=0.1563 amplitude=1.0570 sparse=0.9037 val_score=0.15115 best=0.09923 centroid=1.000 falseS=0.006 massX=0.950 outsideT=0.003 recall=0.904 precision=0.996 bad=9 lr=1.46e-04 peak_mb=7362 elapsed=2052.9s
[A] epoch 55/150 loss=-2.69026 presence=0.1316 amplitude=1.0590 sparse=0.8827 val_score=0.13916 best=0.09923 centroid=1.000 falseS=0.007 massX=1.169 outsideT=0.008 recall=1.022 precision=0.994 bad=10 lr=1.44e-04 peak_mb=7362 elapsed=2090.4s
[A] epoch 56/150 loss=-2.73617 presence=0.1153 amplitude=1.0338 sparse=0.8990 val_score=0.12980 best=0.09923 centroid=1.000 falseS=0.006 massX=1.358 outsideT=0.006 recall=1.139 precision=0.994 bad=11 lr=1.42e-04 peak_mb=7362 elapsed=2128.0s
[A] epoch 57/150 loss=-2.66597 presence=0.1091 amplitude=1.0449 sparse=0.8951 val_score=0.16583 best=0.09923 centroid=1.000 falseS=0.016 massX=1.206 outsideT=0.016 recall=1.116 precision=0.988 bad=12 lr=1.40e-04 peak_mb=7362 elapsed=2165.8s
[A] epoch 58/150 loss=-2.75041 presence=0.1255 amplitude=1.0330 sparse=0.8984 val_score=0.11242 best=0.09923 centroid=1.000 falseS=0.004 massX=1.171 outsideT=0.005 recall=1.138 precision=0.996 bad=13 lr=1.38e-04 peak_mb=7362 elapsed=2203.6s
[A] epoch 59/150 loss=-2.73313 presence=0.1289 amplitude=1.0270 sparse=0.9000 val_score=0.15739 best=0.09923 centroid=1.000 falseS=0.006 massX=1.003 outsideT=0.006 recall=1.016 precision=0.994 bad=14 lr=1.36e-04 peak_mb=7362 elapsed=2241.9s
[A] epoch 60/150 loss=-2.71174 presence=0.0939 amplitude=1.0246 sparse=0.8736 val_score=0.15120 best=0.09923 centroid=1.000 falseS=0.010 massX=1.150 outsideT=0.010 recall=1.061 precision=0.990 bad=15 lr=1.34e-04 peak_mb=7362 elapsed=2280.4s
[A] epoch 61/150 loss=-2.67841 presence=0.0939 amplitude=1.0112 sparse=0.8893 val_score=0.16878 best=0.09923 centroid=1.000 falseS=0.007 massX=1.022 outsideT=0.007 recall=1.001 precision=0.993 bad=16 lr=1.32e-04 peak_mb=7362 elapsed=2317.7s
[A] epoch 62/150 loss=-2.69410 presence=0.0987 amplitude=1.0310 sparse=0.9047 val_score=0.12191 best=0.09923 centroid=1.000 falseS=0.004 massX=1.127 outsideT=0.005 recall=1.104 precision=0.996 bad=17 lr=1.30e-04 peak_mb=7362 elapsed=2355.8s
[A] epoch 63/150 loss=-2.76562 presence=0.0797 amplitude=1.0216 sparse=0.8847 val_score=0.16678 best=0.09923 centroid=1.000 falseS=0.004 massX=0.997 outsideT=0.005 recall=1.046 precision=0.996 bad=18 lr=1.28e-04 peak_mb=7362 elapsed=2393.5s
[A] epoch 64/150 loss=-2.79288 presence=0.0758 amplitude=1.0041 sparse=0.8780 val_score=0.11022 best=0.09923 centroid=1.000 falseS=0.003 massX=1.125 outsideT=0.004 recall=1.111 precision=0.997 bad=19 lr=1.26e-04 peak_mb=7362 elapsed=2430.7s
[A] epoch 65/150 loss=-2.74669 presence=0.0853 amplitude=1.0021 sparse=0.9077 val_score=0.16916 best=0.09923 centroid=1.000 falseS=0.005 massX=1.136 outsideT=0.005 recall=1.136 precision=0.995 bad=20 lr=1.24e-04 peak_mb=7362 elapsed=2468.0s
[A] early stop at epoch 65 after 20 non-improving epochs
[A] complete best_validation_score=0.099230
